"Type","MPG","Date","Time","Vehicle","Odometer","Filled Up","Cost/Gallon","Gallons","Total Cost","Octane","Gas Brand","Location","Tags","Payment Type","Tire Pressure","Notes","Total Cost","Services"
"Gas","0.0","2010-01-18","10:39 PM","Nissan Versa SL","20406","Full","$2.729","7.255","$19.80","87","Kwik Trip","","","Debit","0.0","","$19.80",""
"Gas","31.6","2010-01-16","10:44 PM","Nissan Versa SL","20177","Full","$2.759","8.036","$22.17","87","Kwik Trip","","","Debit","0.0","","$22.17",""
"Gas","22.6","2010-01-09","10:42 PM","Nissan Versa SL","19995","Full","$2.699","8.415","$22.71","87","Kwik Trip","Decorah","","Debit","0.0","","$22.71",""
"Gas","25.2","2010-01-02","10:41 PM","Nissan Versa SL","19783","Full","$2.659","8.353","$22.21","87","Kwik Trip","","","Debit","0.0","","$22.21",""
"Gas","25.6","2009-12-19","3:53 PM","Nissan Versa SL","19569","Full","$2.529","7.762","$19.63","87","Kwik Trip","","","Debit","0.0","","$19.63",""
"Service","0.0","2009-12-18","11:01 PM","Nissan Versa SL","19500","","$0.000","0.000","$35.00","87","Kwik Trip","Decorah","Bobs Standard","Debit","0.0","","$35.00","Oil Change"
"Gas","23.2","2009-12-12","3:52 PM","Nissan Versa SL","19389","Full","$2.539","6.971","$17.70","87","Kwik Trip","","","Debit","0.0","","$17.70",""
"Gas","25.8","2009-12-06","3:50 PM","Nissan Versa SL","19209","Full","$2.629","6.899","$18.14","87","Kwik Trip","","","Debit","0.0","","$18.14",""
"Gas","26.5","2009-12-03","3:51 PM","Nissan Versa SL","19026","Full","$2.629","9.323","$24.51","87","Kwik Trip","","","Debit","0.0","","$24.51",""
"Gas","26.5","2009-11-23","10:33 PM","Nissan Versa SL","18779","Full","$2.629","10.825","$28.46","87","Kwik Trip","Decorah","","Visa","0.0","","$28.46",""
"Gas","25.3","2009-11-10","10:37 PM","Nissan Versa SL","18505","Full","$2.599","8.362","$21.73","87","Kwik Trip","","","Visa","0.0","","$21.73",""
"Gas","30.5","2009-11-06","10:36 PM","Nissan Versa SL","18250","Full","$2.629","9.096","$23.91","87","Caseys","","","Visa","0.0","","$23.91",""
"Gas","25.3","2009-10-28","9:05 PM","Nissan Versa SL","18020","Full","$2.729","10.386","$28.34","87","Kwik Trip","","","Visa","0.0","","$28.34",""
"Gas","26.7","2009-10-15","9:08 PM","Nissan Versa SL","17743","Full","$2.469","9.184","$22.68","87","Kwik Trip","","","Visa","0.0","","$22.68",""
"Gas","26.5","2009-10-07","10:43 PM","Nissan Versa SL","17500","Full","$2.629","9.000","$23.66","87","Kwik Trip","","","Visa","0.0","","$23.66",""
"Gas","28.0","2009-10-02","8:46 PM","Nissan Versa SL","17248","Full","$2.329","10.368","$24.15","87","Kwik Trip","Oelwein","","Visa","0.0","","$24.15",""
"Gas","28.5","2009-09-22","6:19 PM","Nissan Versa SL","16953","Full","$2.459","8.807","$21.66","87","Caseys","","","Visa","0.0","","$21.66",""
"Gas","25.9","2009-09-15","10:45 PM","Nissan Versa SL","16725","Full","$2.629","9.000","$23.66","87","Kwik Trip","","","Visa","0.0","","$23.66",""
"Service","0.0","2009-09-10","10:34 PM","Nissan Versa SL","16505","","$0.000","0.000","$30.00","87","Caseys","Decorah","","Visa","0.0","","$30.00","Oil Change"
"Gas","28.0","2009-09-09","2:54 PM","Nissan Versa SL","16473","Full","$2.460","10.140","$24.94","87","Caseys","","","Visa","0.0","","$24.94",""
"Gas","30.0","2009-09-01","10:13 PM","Nissan Versa SL","16169","Full","$2.529","10.638","$26.90","87","Caseys","Decorah","","Visa","0.0","","$26.90",""
"Gas","31.4","2009-08-29","12:13 PM","Nissan Versa SL","15835","Full","$2.529","8.837","$22.35","87","Kwik Trip","Decorah","","Visa","0.0","","$22.35",""
"Gas","30.9","2009-08-25","12:14 PM","Nissan Versa SL","15562","Full","$2.529","9.690","$24.51","87","Kwik Trip","Decorah","","Visa","0.0","","$24.51",""
"Gas","31.2","2009-08-19","11:09 PM","Nissan Versa SL","15260","Full","$2.559","9.130","$23.36","87","Kwik Trip","Decorah","","Visa","0.0","","$23.36",""
"Gas","27.7","2009-08-17","8:53 AM","Nissan Versa SL","15007","Full","$2.549","7.873","$20.07","87","Holiday","Eagan","","Visa","0.0","","$20.07",""
"Gas","25.9","2009-08-14","8:09 PM","Nissan Versa SL","14803","Full","$2.559","6.930","$17.73","87","Holiday","Shakopee","","Visa","0.0","","$17.73",""
"Gas","30.7","2009-08-09","8:54 PM","Nissan Versa SL","14590","Full","$2.609","9.202","$24.01","87","Kwik Trip","Decorah","","Visa","0.0","","$24.01",""
"Gas","33.7","2009-08-07","11:38 AM","Nissan Versa SL","14280","Full","$2.609","10.177","$26.55","87","Caseys","Decorah","","Visa","0.0","","$26.55",""
"Gas","31.2","2009-07-31","4:17 PM","Nissan Versa SL","13962","Full","$2.519","7.354","$18.52","87","Kwik Trip","Decorah","","Visa","0.0","","$18.52",""
"Gas","26.9","2009-07-25","9:21 PM","Nissan Versa SL","13764","Full","$2.439","5.948","$14.51","87","Caseys","Decorah","","Visa","0.0","","$14.51",""
"Gas","29.1","2009-07-20","8:38 AM","Nissan Versa SL","13591","Full","$2.379","5.900","$14.04","87","Kwik Trip","Decorah","","Visa","0.0","","$14.04",""
"Gas","29.0","2009-07-18","8:20 PM","Nissan Versa SL","13420","Full","$2.379","8.917","$21.21","87","Caseys","Decorah","","Visa","0.0","","$21.21",""
"Gas","32.9","2009-07-16","12:58 PM","Nissan Versa SL","13127","Full","$2.379","7.923","$18.85","87","Kwik Trip","Decorah","","Visa","0.0","","$18.85",""
"","","","","","","","","","","","","","","","","","",""